n	O_1	O_log	O_n	O_nsq	O_exp	O_fac
1	1	0.0	1	1	2.718281828459045	1
10	1	2.302585092994046	10	100	22026.465794806718	3628800
20	1	2.995732273553991	20	400	485165195.4097903	2432902008176640000
30	1	3.4011973816621555	30	900	10686474581524.463	265252859812191058636308480000000
40	1	3.6888794541139363	40	1600	2.3538526683702e+17	815915283247897734345611269596115894272000000000
50	1	3.912023005428146	50	2500	5.184705528587072e+21	30414093201713378043612608166064768844377641568960512000000000000
60	1	4.0943445622221	60	3600	1.1420073898156842e+26	8320987112741390144276341183223364380754172606361245952449277696409600000000000000
70	1	4.248495242049359	70	4900	2.515438670919167e+30	11978571669969891796072783721689098736458938142546425857555362864628009582789845319680000000000000000
80	1	4.382026634673881	80	6400	5.54062238439351e+34	71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
90	1	4.499809670330265	90	8100	1.2204032943178408e+39	1485715964481761497309522733620825737885569961284688766942216863704985393094065876545992131370884059645617234469978112000000000000000000000
100	1	4.605170185988092	100	10000	2.6881171418161356e+43	93326215443944152681699238856266700490715968264381621468592963895217599993229915608941463976156518286253697920827223758251185210916864000000000000000000000000
110	1	4.700480365792417	110	12100	5.92097202766467e+47	15882455415227429404253703127090772871724410234473563207581748318444567162948183030959960131517678520479243672638179990208521148623422266876757623911219200000000000000000000000000
120	1	4.787491742782046	120	14400	1.3041808783936323e+52	6689502913449127057588118054090372586752746333138029810295671352301633557244962989366874165271984981308157637893214090552534408589408121859898481114389650005964960521256960000000000000000000000000000
130	1	4.867534450455582	130	16900	2.872649550817832e+56	6466855489220473672507304395536485253155359447828049608975952322944781961185526165512707047229268452925683969240398027149120740074042105844737747799459310029635780991774612983803150965145600000000000000000000000000000000
140	1	4.941642422609304	140	19600	6.327431707155585e+60	13462012475717524605876073858941615558355851148193967190051391468057460367090535696797920946629681836680869097041958983702264048370902871114013579941370766400374327741701139895604871545254810788060989321379840000000000000000000000000000000000
150	1	5.0106352940962555	150	22500	1.3937095806663797e+65	57133839564458545904789328652610540031895535786011264182548375833179829124845398393126574488675311145377107878746854204162666250198684504466355949195922066574942592095735778929325357290444962472405416790722118445437122269675520000000000000000000000000000000000000
160	1	5.075173815233827	160	25600	3.0698496406442424e+69	471472363599206132240694321176194377951192623045460204976904578317542573467421580346978030238114995699562728104819596262106947389303901748942909887857509625114880781313585012959529941660203611234871833992565791817698209861793313332044734813700096000000000000000000000000000000000000000
170	1	5.135798437050262	170	28900	6.761793810485009e+73	7257415615307998967396728211129263114716991681296451376543577798900561843401706157852350749242617459511490991237838520776666022565442753025328900773207510902400430280058295603966612599658257104398558294257568966313439612262571094946806711205568880457193340212661452800000000000000000000000000000000000000000
180	1	5.19295685089021	180	32400	1.4893842007818383e+78	200896062499134299656951336898466838917540340798867777940435335160044860953395980941180138112097309735631594101037399609671032132186331495273609598531966730972945653558819806475064353856858157445040809209560358463319644664891114256430017824141796753818192338642302693327818731986039603200000000000000000000000000000000000000000000
190	1	5.247024072160486	190	36100	3.2805870153846705e+82	9680322675255249156123346514615331205418161260462873360750859919944104623425228207640470674933540169424682360525991982916161596983449594045525553704253602287443197783274656957056546338783001340434094795097553229620273057440272298773179365935914105128629426348958748638226084106818484328004851174161755668480000000000000000000000000000000000000000000000
200	1	5.298317366548036	200	40000	7.225973768125749e+86	788657867364790503552363213932185062295135977687173263294742533244359449963403342920304284011984623904177212138919638830257642790242637105061926624952829931113462857270763317237396988943922445621451664240254033291864131227428294853277524242407573903240321257405579568660226031904170324062351700858796178922222789623703897374720000000000000000000000000000000000000000000000000
